0,0.47,0.71
1,0.23,0.8
2,0.66,0.84
3,0.21,0.72
4,0.28,0.46
5,0.74,0.79
6,0.58,0.57
7,0.8,0.56
8,0.51,0.97
9,0.22,0.21
10,0.58,0.23
11,0.84,0.57
12,0.04,0.55
13,0.8,0.9
14,0.14,0.39
15,0.78,0.33
16,0.04,0.8
17,0.39,0.39
18,0.65,0.96
19,0.69,0.29
20,0.46,0.72
21,0.23,0.03
22,0.86,0.01
23,0.58,0.27
24,0.12,0.49
25,0.21,0.63
26,0.45,0.17
27,0.56,0.02
28,0.85,0.62
29,0.31,0.74
30,0.91,0.02
31,0.81,0.7
32,0.45,0.54
33,0.87,0.83
34,0.22,0.29
35,0.5,0.35
36,0.69,0.05
37,0.43,0.29
38,0.83,0.66
39,0.41,0.51
40,0.41,0.21
41,0.4,0.83
42,0.15,0.63
43,0.67,0.53
44,0.51,0.33
45,0.73,0.68
46,0.39,0.55
47,0.83,0.41
48,0.39,0.39
49,0.39,0.81
50,0.46,0.9
51,0.43,0.14
52,0.14,0.07
53,0.41,0.93
54,0.44,0.49
55,0.53,0.81
56,0.58,0.99
57,0.59,0.12
58,0.63,0.95
59,0.97,0.01
60,0.84,0.99
61,0.29,0.15
62,0.3,0.88
63,0.35,0.26
64,0.1,0.61
65,0.94,0.13
66,0.58,0.4
67,0.96,0.64
68,0.86,0
69,1,0.77
70,0.19,0.08
71,0.16,0.61
72,0.61,0.87
73,0.64,0.54
74,0.95,0.43
75,0.88,0.85
76,0.88,0.36
77,0.44,0.55
78,0.13,0.38
79,0.39,0.64
80,0.15,0.87
81,0.64,0.73
82,0.25,0.53
83,0.35,0.95
84,0.84,0.17
85,0.97,0.86
86,0.87,0.04
87,0.87,0.46
88,0.61,0.39
89,0.03,0.49
90,0.28,0.45
91,0.1,0.03
92,0.62,0.79
93,0.69,0.63
94,0.42,0.82
95,0.5,0.37
96,0.34,0.2
97,0.99,0.9
98,0.25,0.97
99,0.97,0.95
100,0.24,0.74
101,0.58,0.58
102,0.45,0.63
103,0.27,0.47
104,0.4,0.11
105,0.61,0.54
106,0.22,0.98
107,0.56,0.32
108,0.81,0.5
109,0.7,0.19
110,0.37,0.67
111,0.05,0.78
112,0.96,0.13
113,0.23,0.8
114,0.31,0.38
115,0.87,0.19
116,0.97,0.69
117,0.24,0.89
118,0.29,0.65
119,0.83,0.05
120,0.36,0.38
121,0.68,0.59
122,0.18,0.24
123,0.63,0.83
124,0.18,0.25
125,0.65,0.01
126,0.62,0.57
127,0.68,0.08
128,0.25,0.1
129,0.03,0.15
130,0.25,0.78
131,0.6,0.05
132,0.44,0.01
133,0.55,0.93
134,0.57,0.53
135,0.08,0.83
136,0.5,0.4
137,0.26,0.22
138,0.23,0.65
139,0.57,0.78
140,0.84,0.16
141,0.85,0.02
142,0.29,0.11
143,0.12,0.89
144,0.1,0.13
145,0.41,0.28
146,0.38,0.04
147,0.31,0.1
148,0.58,0.19
149,0.51,0.78
150,0.94,0.77
151,0.96,0.88
152,0.83,0.49
153,0.66,0.27
154,0.06,0.03
155,0.23,0.53
156,0.88,0.77
157,0.59,0.73
158,0.33,0.84
159,0.18,0.1
160,0.02,0.74
161,0.91,0.3
162,0.06,0.77
163,0.03,0.79
164,0.16,0.96
165,0.97,0.54
166,0.52,0.52
167,0.46,0.18
168,0.95,0.66
169,0.25,0.79
170,0.18,0.01
171,0.98,0.82
172,0.33,0.47
173,0.26,0.91
174,0.05,0.49
175,0.03,0.95
176,0.39,0.1
177,0.98,0.68
178,0.61,0.34
179,0.28,0.3
180,0.27,0.24
181,0.43,0.63
182,0.04,0.49
183,0.53,0.32
184,0.84,0.33
185,0.51,0.06
186,0.52,0.78
187,0.96,0.33
188,0.31,0.02
189,0.67,0.49
190,0.95,0.52
191,0.67,0.37
192,0.85,0.42
193,0.72,0.88
194,0.46,0.19
195,0.91,0.73
196,0.11,0.36
197,0.94,0.31
198,0.28,0.06
199,0.2,0.46
